# cross-sections for absorption and fluorescence
# E XPHOT XKFEa2 XKFEa1 XKFEb XKC XKO XKNE XKMG XKSI XKAR XKCA XKCR XKNIa2 XKNIa1
# but first: line energies
0 0 6.39084  6.40384  7.05798  0.277 0.5249 0.8486 1.2536 1.73938 2.956 3.69 5.41 7.47815 7.476089
# and second: line yields (fractions of cross-sections)
0 1 0.101391 0.198621 0.045828 0.0025 0.0086 0.0183 0.0303 0.042914 0.121024 0.146496 0.245361 0.12106 0.236419
# and third: intrinsic line widths (also in keV) # from doi:10.1103/PhysRevA.56.4554
0 1 0.00314 0.00255 0.00353 0 0 0 0 0 0 0 0 0.00316 0.00224
# and forth: asymmetry of the line complex: ratio of profile height at half-maximum # from doi:10.1103/PhysRevA.56.4554
0 1 1.22 1.66 1 1 1 1 1 1 1 1 1 1.22 1.22
# now comes the absorption cross-section table
# E XPHOT XKFEa2 XKFEa1 XKFEb XKC XKO XKNE XKMG XKSI XKAR XKCA XKCR XKNIa2 XKNIa1
5.550000000000000488e-01 1.026224792739849123e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.468297907089670173e-02 3.974638313569531789e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.650000000000000577e-01 9.790839547164593704e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.132621280954264120e-02 3.829884532593498259e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.749999999999999556e-01 9.348361922205867813e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.816526931039786075e-02 3.691327538222681226e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.849999999999999645e-01 8.932587182608204834e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.518620566757056534e-02 3.558706274004364567e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.949999999999999734e-01 8.542594660176624499e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.237553164879965778e-02 3.431663426806532136e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.049999999999999822e-01 8.181036940278807457e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.972175729746275613e-02 3.309976512313804742e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.149999999999999911e-01 7.833883121037876762e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.721481374516280971e-02 3.193508445857519695e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.250000000000000000e-01 7.506206686841591091e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.484478518486143178e-02 3.082020881790920597e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.350000000000000089e-01 7.196825418222700943e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.260171132265917954e-02 2.975171022697603584e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.450000000000000178e-01 6.904477642128422632e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.047795890078547731e-02 2.872846623246203546e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
